twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;3.8;4.49;4.99;5.43;5.72;5.88;5.94
60;4.1;4.78;5.34;5.74;5.96;6.11;6.2
75;4.3;5.03;5.63;5.96;6.16;6.31;6.52
90;4.27;5.02;5.67;6.02;6.27;6.46;6.76
110;3.99;4.78;5.49;5.95;6.21;6.41;6.8
120;3.74;4.56;5.25;5.81;6.12;6.34;6.73
135;3.3;4.15;4.81;5.43;5.88;6.15;6.54
150;2.85;3.7;4.39;4.98;5.54;5.94;6.38 
